approach,system,scope,seed,n_train,n_test,macro_f1,accuracy,precision,recall,fpr,roc_auc,mcc
D,baseline_transfer_isot,isot,42,100000,44898,0.39545585654117493,0.506748630228518,0.810032512772875,0.07427281631957754,0.019096979035345754,0.5820193822427409,0.1289798505019752
D,clustered_routed_transfer_isot,isot,42,100000,44898,0.4185158457357617,0.503674996659094,0.6413223140495867,0.1156679868830118,0.0709249661483868,0.5790244841891949,0.07646038813539602
