approach,system,scope,seed,n_train,n_test,macro_f1,accuracy,precision,recall,fpr,roc_auc,mcc,variant
A,matched,Society,44,2517,540,0.7041666666666666,0.737037037037037,0.7429305912596401,0.8731117824773413,0.4784688995215311,0.7999103774266757,0.4282803419145893,raw
A,matched,Society,45,2517,540,0.7243513059606984,0.7574074074074074,0.7525252525252525,0.9003021148036254,0.4688995215311005,0.8235447173275126,0.47516128961736276,raw
A,matched,Society,46,2517,540,0.7355007576801211,0.762962962962963,0.7650130548302873,0.8851963746223565,0.430622009569378,0.8100579655675855,0.48757661453885204,raw
A,baseline,overall,42,2781,596,0.6021446130372128,0.7885906040268457,0.3163265306122449,0.34444444444444444,0.1324110671936759,0.6958058849363197,0.20482031735976955,trunc100
A,baseline,Business,42,2781,47,0.7267441860465116,0.9148936170212766,0.4,0.6666666666666666,0.06818181818181818,0.9621212121212122,0.4744937303529944,trunc100
A,baseline,Conflict,42,2781,63,0.5081081081081081,0.7936507936507936,0.16666666666666666,0.1111111111111111,0.09259259259259259,0.42386831275720166,0.022075539284417394,trunc100
A,baseline,Entertainment,42,2781,96,0.6086956521739131,0.9375,0.3333333333333333,0.2,0.02197802197802198,0.6505494505494506,0.22734071362362013,trunc100
A,baseline,Health,42,2781,34,0.4603174603174603,0.8529411764705882,0.0,0.0,0.12121212121212122,0.7878787878787878,-0.06356417261637282,trunc100
A,baseline,Politics,42,2781,250,0.5984504913076342,0.728,0.3508771929824561,0.39215686274509803,0.18592964824120603,0.6925805498078629,0.19808040702268537,trunc100
A,baseline,Society,42,2781,95,0.5271889400921659,0.7157894736842105,0.2,0.26666666666666666,0.2,0.6566666666666667,0.05962847939999439,trunc100
A,baseline,Uncategorized,42,2781,11,0.717948717948718,0.7272727272727273,1.0,0.5,0.0,0.7333333333333333,0.5590169943749475,trunc100
A,ceiling,overall,42,2781,585,0.6039216717391162,0.8239316239316239,0.35384615384615387,0.27380952380952384,0.08383233532934131,0.7012879003896968,0.21198328210145417,trunc100
A,ceiling,Business,42,216,47,0.4835164835164835,0.9361702127659575,0.0,0.0,0.0,0.6212121212121211,0.0,trunc100
A,ceiling,Conflict,42,301,63,0.46153846153846156,0.8571428571428571,0.0,0.0,0.0,0.3271604938271605,0.0,trunc100
A,ceiling,Entertainment,42,444,96,0.48663101604278075,0.9479166666666666,0.0,0.0,0.0,0.6000000000000001,0.0,trunc100
A,ceiling,Health,42,164,34,0.4925373134328358,0.9705882352941176,0.0,0.0,0.0,0.9393939393939394,0.0,trunc100
A,ceiling,Politics,42,1162,250,0.6181889841363681,0.752,0.39215686274509803,0.39215686274509803,0.15577889447236182,0.6699182185436989,0.23637796827273622,trunc100
A,ceiling,Society,42,445,95,0.5320197044334976,0.7578947368421053,0.21428571428571427,0.2,0.1375,0.6224999999999999,0.06429306248420497,trunc100
A,matched,Business,42,216,47,0.4835164835164835,0.9361702127659575,0.0,0.0,0.0,0.8257575757575757,0.0,trunc100
A,matched,Business,43,216,47,0.4835164835164835,0.9361702127659575,0.0,0.0,0.0,0.8484848484848484,0.0,trunc100
A,matched,Business,44,216,47,0.7388888888888889,0.9574468085106383,1.0,0.3333333333333333,0.0,0.7196969696969697,0.5646597025732799,trunc100
A,matched,Business,45,216,47,0.4835164835164835,0.9361702127659575,0.0,0.0,0.0,0.8333333333333333,0.0,trunc100
A,matched,Business,46,216,47,0.8943820224719101,0.9787234042553191,1.0,0.6666666666666666,0.0,0.9318181818181818,0.8073734277593311,trunc100
A,matched,Conflict,42,301,63,0.4473684210526316,0.8095238095238095,0.0,0.0,0.05555555555555555,0.44238683127572015,-0.09128709291752768,trunc100
A,matched,Conflict,43,301,63,0.45689655172413796,0.8412698412698413,0.0,0.0,0.018518518518518517,0.5267489711934157,-0.05184758473652126,trunc100
A,matched,Conflict,44,301,63,0.4473684210526316,0.8095238095238095,0.0,0.0,0.05555555555555555,0.41769547325102885,-0.09128709291752768,trunc100
A,matched,Conflict,45,301,63,0.45217391304347826,0.8253968253968254,0.0,0.0,0.037037037037037035,0.5061728395061729,-0.07392212709545729,trunc100
A,matched,Conflict,46,301,63,0.45689655172413796,0.8412698412698413,0.0,0.0,0.018518518518518517,0.47119341563786005,-0.05184758473652126,trunc100
A,matched,Entertainment,42,444,96,0.4838709677419355,0.9375,0.0,0.0,0.01098901098901099,0.6945054945054945,-0.02404930351219409,trunc100
A,matched,Entertainment,43,444,96,0.6293436293436294,0.9479166666666666,0.5,0.2,0.01098901098901099,0.6043956043956045,0.29404501984647907,trunc100
A,matched,Entertainment,44,444,96,0.6086956521739131,0.9375,0.3333333333333333,0.2,0.02197802197802198,0.5010989010989011,0.22734071362362013,trunc100
A,matched,Entertainment,45,444,96,0.48663101604278075,0.9479166666666666,0.0,0.0,0.0,0.7032967032967032,0.0,trunc100
A,matched,Entertainment,46,444,96,0.4838709677419355,0.9375,0.0,0.0,0.01098901098901099,0.4461538461538462,-0.02404930351219409,trunc100
A,matched,Health,42,164,34,0.48484848484848486,0.9411764705882353,0.0,0.0,0.030303030303030304,0.8484848484848485,-0.030303030303030304,trunc100
A,matched,Health,43,164,34,0.4925373134328358,0.9705882352941176,0.0,0.0,0.0,0.36363636363636365,0.0,trunc100
A,matched,Health,44,164,34,0.4925373134328358,0.9705882352941176,0.0,0.0,0.0,0.6666666666666667,0.0,trunc100
A,matched,Health,45,164,34,0.4925373134328358,0.9705882352941176,0.0,0.0,0.0,0.6666666666666667,0.0,trunc100
A,matched,Health,46,164,34,0.4925373134328358,0.9705882352941176,0.0,0.0,0.0,0.2727272727272727,0.0,trunc100
A,matched,Politics,42,1162,250,0.5750777000777001,0.72,0.32075471698113206,0.3333333333333333,0.18090452261306533,0.6914966991821855,0.1502822330241002,trunc100
A,matched,Politics,43,1162,250,0.6026020395686092,0.74,0.36538461538461536,0.37254901960784315,0.1658291457286432,0.6787860872992413,0.20523885856137072,trunc100
A,matched,Politics,44,1162,250,0.590669790171037,0.74,0.3541666666666667,0.3333333333333333,0.15577889447236182,0.678391959798995,0.18165479119169747,trunc100
A,matched,Politics,45,1162,250,0.5938673977053508,0.744,0.3617021276595745,0.3333333333333333,0.1507537688442211,0.6605576904128485,0.18830716504623007,trunc100
A,matched,Politics,46,1162,250,0.5935560153709725,0.736,0.35294117647058826,0.35294117647058826,0.1658291457286432,0.7079515223174697,0.18711203074194502,trunc100
A,matched,Society,42,445,95,0.5529411764705883,0.8315789473684211,0.4,0.13333333333333333,0.0375,0.6266666666666667,0.1564951780111475,trunc100
A,matched,Society,43,445,95,0.5300702941942202,0.8,0.25,0.13333333333333333,0.075,0.5666666666666667,0.07659541916817149,trunc100
A,matched,Society,44,445,95,0.47540160642570284,0.7684210526315789,0.1111111111111111,0.06666666666666667,0.1,0.5625,-0.041504853757646024,trunc100
A,matched,Society,45,445,95,0.5300702941942202,0.8,0.25,0.13333333333333333,0.075,0.6208333333333333,0.07659541916817149,trunc100
A,matched,Society,46,445,95,0.5704134366925064,0.8526315789473684,0.6666666666666666,0.13333333333333333,0.0125,0.5991666666666667,0.251954916985632,trunc100
